Rang,Word,lemme,cgram,genre,nombre,freqlemlivres
1061,attitude,attitude,NOM,f,s,67.91
1062,attitudes,attitude,NOM,f,p,67.91
1063,son,son,NOM,m,s,67.84
1064,sons,son,NOM,m,p,67.84
1065,comte,comte,NOM,m,s,67.77
1066,comtes,comte,NOM,m,p,67.77
1067,comtesse,comte,NOM,f,s,67.77
1071,connaissance,connaissance,NOM,f,s,67.5
1072,connaissances,connaissance,NOM,f,p,67.5
1075,destin,destin,NOM,m,s,67.23
1076,destins,destin,NOM,m,p,67.23
1083,banc,banc,NOM,m,s,66.42
1084,bancs,banc,NOM,m,p,66.42
1085,horizon,horizon,NOM,m,s,66.15
1086,horizons,horizon,NOM,m,p,66.15
1087,allure,allure,NOM,f,s,65.88
1088,allures,allure,NOM,f,p,65.88
1091,parfum,parfum,NOM,m,s,65.74
1092,parfums,parfum,NOM,m,p,65.74
1093,égard,égard,NOM,m,s,65.61
1094,égards,égard,NOM,m,p,65.61
1095,magasin,magasin,NOM,m,s,65.54
1096,magasins,magasin,NOM,m,p,65.54
1097,contact,contact,NOM,m,s,65.47
1099,preuve,preuve,NOM,f,s,65.34
1100,preuves,preuve,NOM,f,p,65.34
1106,lueur,lueur,NOM,f,s,64.19
1107,lueurs,lueur,NOM,f,p,64.19
1110,fruit,fruit,NOM,m,s,64.05
1111,fruits,fruit,NOM,m,p,64.05
1114,miroir,miroir,NOM,m,s,63.99
1115,miroirs,miroir,NOM,m,p,63.99
1116,professeur,professeur,NOM,,s,63.92
1117,professeure,professeur,NOM,f,s,63.92
1118,professeurs,professeur,NOM,,p,63.92
1123,billet,billet,NOM,m,s,63.58
1124,billets,billet,NOM,m,p,63.58
1128,ensembles,ensemble,NOM,m,p,63.45
1129,paupière,paupière,NOM,f,s,63.45
1130,paupières,paupière,NOM,f,p,63.45
1131,position,position,NOM,f,s,63.38
1132,positions,position,NOM,f,p,63.38
1137,victoire,victoire,NOM,f,s,63.24
1138,victoires,victoire,NOM,f,p,63.24
1139,élément,élément,NOM,m,s,63.04
1140,éléments,élément,NOM,m,p,63.04
1141,étude,étude,NOM,f,s,63.04
1142,études,étude,NOM,f,p,63.04
1143,lait,lait,NOM,m,s,62.91
1153,mademoiselle,mademoiselle,NOM,f,s,62.36
1157,société,société,NOM,f,s,62.23
1158,sociétés,société,NOM,f,p,62.23
1159,caractère,caractère,NOM,m,s,62.16
1160,caractères,caractère,NOM,m,p,62.16
1161,couverture,couverture,NOM,f,s,62.03
1162,couvertures,couverture,NOM,f,p,62.03
1163,salut,salut,NOM,m,s,61.82
1167,tendresse,tendresse,NOM,f,s,61.69
1169,veste,veste,NOM,f,s,61.62
1170,vestes,veste,NOM,f,p,61.62
1171,bar,bar,NOM,m,s,61.35
1172,bars,bar,NOM,m,p,61.35
1177,souci,souci,NOM,m,s,61.22
1178,soucis,souci,NOM,m,p,61.22
1179,boulevard,boulevard,NOM,m,s,61.15
1180,boulevards,boulevard,NOM,m,p,61.15
1185,folie,folie,NOM,f,s,60.74
1186,folies,folie,NOM,f,p,60.74
1187,maladie,maladie,NOM,f,s,60.68
1188,maladies,maladie,NOM,f,p,60.68
1192,buts,but,NOM,m,p,60.41
1193,sueur,sueur,NOM,f,s,60.34
1195,seigneur,seigneur,NOM,m,s,60.14
1196,seigneurs,seigneur,NOM,m,p,60.14
1197,décision,décision,NOM,f,s,60.0
1198,décisions,décision,NOM,f,p,60.0
1199,menton,menton,NOM,m,s,60.0
1204,terme,terme,NOM,m,s,59.73
1205,termes,terme,NOM,m,p,59.73
1207,déjeuners,déjeuner,NOM,m,p,59.66
1208,émotion,émotion,NOM,f,s,59.59
1209,émotions,émotion,NOM,f,p,59.59
1215,qualité,qualité,NOM,f,s,59.12
1216,qualités,qualité,NOM,f,p,59.12
1217,sort,sort,NOM,m,s,58.92
1218,sorts,sort,NOM,m,p,58.92
1219,expérience,expérience,NOM,f,s,58.72
1220,expériences,expérience,NOM,f,p,58.72
1223,matière,matière,NOM,f,s,58.45
1224,matières,matière,NOM,f,p,58.45
1226,circonstance,circonstance,NOM,f,s,58.24
1227,circonstances,circonstance,NOM,f,p,58.24
1230,rang,rang,NOM,m,s,58.24
1231,rangs,rang,NOM,m,p,58.24
1232,territoire,territoire,NOM,m,s,58.24
1233,territoires,territoire,NOM,m,p,58.24
1234,pitié,pitié,NOM,f,s,58.11
1236,promenade,promenade,NOM,f,s,58.11
1237,promenades,promenade,NOM,f,p,58.11
1240,humeur,humeur,NOM,f,s,58.04
1241,humeurs,humeur,NOM,f,p,58.04
1244,queue,queue,NOM,f,s,57.84
1245,queues,queue,NOM,f,p,57.84
1246,vitesse,vitesse,NOM,f,s,57.84
1247,vitesses,vitesse,NOM,f,p,57.84
1248,aube,aube,NOM,f,s,57.77
1254,grâce,grâce,NOM,f,s,57.7
1255,grâces,grâce,NOM,f,p,57.7
1258,col,col,NOM,m,s,57.43
1259,cols,col,NOM,m,p,57.43
1272,abri,abri,NOM,m,s,56.76
1273,abris,abri,NOM,m,p,56.76
1274,assiette,assiette,NOM,f,s,56.62
1275,assiettes,assiette,NOM,f,p,56.62
1276,ennui,ennui,NOM,m,s,56.62
1277,ennuis,ennui,NOM,m,p,56.62
1278,chaussure,chaussure,NOM,f,s,56.49
1279,chaussures,chaussure,NOM,f,p,56.49
1280,résistance,résistance,NOM,f,s,56.49
1281,résistances,résistance,NOM,f,p,56.49
1282,violence,violence,NOM,f,s,56.49
1283,violences,violence,NOM,f,p,56.49
1286,dessin,dessin,NOM,m,s,56.28
1287,dessins,dessin,NOM,m,p,56.28
1290,récit,récit,NOM,m,s,56.15
1291,récits,récit,NOM,m,p,56.15
1302,rayon,rayon,NOM,m,s,55.74
1305,fusil,fusil,NOM,m,s,55.68
1306,fusils,fusil,NOM,m,p,55.68
1307,colline,colline,NOM,f,s,55.61
1308,collines,colline,NOM,f,p,55.61
1312,devoirs,devoir,NOM,m,p,55.54
1317,danger,danger,NOM,m,s,55.27
1318,dangers,danger,NOM,m,p,55.27
1321,puissance,puissance,NOM,f,s,55.2
