,lemma,"('singular', 'masculine')","('plural', 'masculine')","('singular', 'feminine')","('plural', 'feminine')","('singular', 'invariable')","('plural', 'invariable')","('invariable', 'masculine')","('invariable', 'invariable')","('invariable', 'feminine')"
465,actiniforme,,,,,actiniforme,actiniformes,,,
466,actinifère,,,,,actinifère,actinifères,,,
467,actinique,,,,,actinique,actiniques,,,
468,actino-diélectrique,actino-diélectrique,,,,,,,,
469,actino-électrique,actino-électrique,,,,,,,,
470,actinocarpe,actinocarpe,,,,,,,,
471,actinologique,,,,,actinologique,actinologiques,,,
472,actinomorphe,,,,,actinomorphe,actinomorphes,,,
473,actinomycosique,,,,,actinomycosique,actinomycosiques,,,
474,actinométrique,,,,,actinométrique,actinométriques,,,
475,actinorhizien,actinorhizien,actinorhiziens,actinorhizienne,actinorhiziennes,,,,,
476,actinoteux,,,actinoteuse,actinoteuses,,,actinoteux,,
477,actinotique,,,,,actinotique,actinotiques,,,
478,actinozoaire,actinozoaire,,,,,,,,
479,actinozoé,actinozoé,,,,,,,,
480,actionnable,,,,,actionnable,actionnables,,,
481,actionnaliste,,,,,actionnaliste,actionnalistes,,,
482,actionnarial,actionnarial,actionnariaux,actionnariale,actionnariales,,,,,
483,actionnel,actionnel,actionnels,actionnelle,actionnelles,,,,,
484,actionné,actionné,actionnés,actionnée,actionnées,,,,,
485,activable,,,,,activable,activables,,,
486,activant,activant,activants,activante,activantes,,,,,
487,activateur,activateur,activateurs,activatrice,activatrices,,,,,
488,activiste,,,,,activiste,activistes,,,
489,activé,activé,activés,activée,activées,,,,,
490,actualisable,,,,,actualisable,actualisables,,,
491,actualisant,actualisant,actualisants,actualisante,actualisantes,,,,,
492,actualisateur,actualisateur,actualisateurs,actualisatrice,actualisatrices,,,,,
493,actualisé,actualisé,actualisés,actualisée,actualisées,,,,,
494,actuariel,actuariel,actuariels,actuarielle,actuarielles,,,,,
495,actuel,actuel,actuels,actuelle,actuelles,,,,,
496,aculéate,,,,,aculéate,aculéates,,,
497,aculéiforme,,,,,aculéiforme,aculéiformes,,,
498,acuminant,acuminant,acuminants,acuminante,acuminantes,,,,,
499,acumineux,,,acumineuse,acumineuses,,,acumineux,,
500,acuminifolié,acuminifolié,acuminifoliés,acuminifoliée,acuminifoliées,,,,,
501,acuminifère,,,,,acuminifère,acuminifères,,,
502,acuminé,acuminé,acuminés,acuminée,acuminées,,,,,
503,acunhien,acunhien,acunhiens,acunhienne,acunhiennes,,,,,
504,acupunctural,acupunctural,acupuncturaux,acupuncturale,acupuncturales,,,,,
505,acut,acut,acuts,acute,acutes,,,,,
506,acutangle,,,,,acutangle,acutangles,,,
507,acutangulaire,,,,,acutangulaire,acutangulaires,,,
508,acutangulé,acutangulé,acutangulés,acutangulée,acutangulées,,,,,
509,acutifolié,acutifolié,acutifoliés,acutifoliée,acutifoliées,,,,,
510,acutilobé,acutilobé,acutilobés,acutilobée,acutilobées,,,,,
511,acutirostre,,,,,acutirostre,acutirostres,,,
512,acyclique,,,,,acyclique,acycliques,,,
513,acyloïnique,,,,,acyloïnique,acyloïniques,,,
514,acylé,acylé,acylés,acylée,acylées,,,,,
515,acytoplasmique,,,,,acytoplasmique,acytoplasmiques,,,
516,acère,,,,,acère,acères,,,
517,acéphale,,,,,acéphale,acéphales,,,
518,acéphalien,acéphalien,acéphaliens,acéphalienne,acéphaliennes,,,,,
519,acéphalé,acéphalé,acéphalés,acéphalée,acéphalées,,,,,
520,acéracé,acéracé,acéracés,acéracée,acéracées,,,,,
521,acéracée,,,,,acéracée,acéracées,,,
522,acérain,acérain,acérains,acéraine,acéraines,,,,,
523,acéreux,,,acéreuse,acéreuses,,,acéreux,,
524,acéricole,,,,,acéricole,acéricoles,,,
525,acérin,acérin,acérins,acérine,acérines,,,,,
526,acériné,acériné,acérinés,acérinée,acérinées,,,,,
527,acérique,,,,,acérique,acériques,,,
528,acéré,acéré,acérés,acérée,acérées,,,,,
529,acétabulaire,,,,,acétabulaire,acétabulaires,,,
530,acétabularié,acétabularié,acétabulariés,acétabulariée,acétabulariées,,,,,
531,acétabuleux,,,acétabuleuse,acétabuleuses,,,acétabuleux,,
532,acétabuliforme,,,,,acétabuliforme,acétabuliformes,,,
533,acétabulé,acétabulé,acétabulés,acétabulée,acétabulées,,,,,
534,acéteux,,,acéteuse,acéteuses,,,acéteux,,
535,acétifié,acétifié,acétifiés,acétifiée,acétifiées,,,,,
536,acétimétrique,,,,,acétimétrique,acétimétriques,,,
537,acétique,,,,,acétique,acétiques,,,
538,acétolique,acétolique,,,,,,,,
539,acétonique,,,,,acétonique,acétoniques,,,
540,acétonurique,,,,,acétonurique,acétonuriques,,,
541,acétonémique,,,,,acétonémique,acétonémiques,,,
542,acétylacétique,,,,,acétylacétique,acétylacétiques,,,
543,acétylcholinolytique,,,,,acétylcholinolytique,acétylcholinolytiques,,,
544,acétylcholinomimétique,,,,,acétylcholinomimétique,acétylcholinomimétiques,,,
545,acétylique,,,,,acétylique,acétyliques,,,
546,acétylsalicylique,,,,,acétylsalicylique,acétylsalicyliques,,,
547,acétylé,acétylé,acétylés,acétylée,acétylées,,,,,
548,acétylénique,,,,,acétylénique,acétyléniques,,,
549,acété,acété,acétés,acétée,acétées,,,,,
550,acône,,,,,acône,acônes,,,
551,ad hoc,ad hoc,,,,,,,,
552,ad rem,ad rem,,,,,,,,
553,adamantin,adamantin,adamantins,adamantine,adamantines,,,,,
554,adamantinien,adamantinien,adamantiniens,adamantinienne,adamantiniennes,,,,,
555,adambulacraire,,,,,adambulacraire,adambulacraires,,,
556,adamien,adamien,adamiens,adamienne,adamiennes,,,,,
557,adamique,,,,,adamique,adamiques,,,
558,adamite,,,,,adamite,adamites,,,
559,adaptable,,,,,adaptable,adaptables,,,
560,adaptateur,adaptateur,adaptateurs,adaptatrice,adaptatrices,,,,,
561,adaptatif,adaptatif,adaptatifs,adaptative,adaptatives,,,,,
562,adaptif,adaptif,adaptifs,adaptive,adaptives,,,,,
563,adapté,adapté,adaptés,adaptée,adaptées,,,,,
564,addictif,addictif,addictifs,addictive,addictives,,,,,
565,addictologique,,,,,addictologique,addictologiques,,,
566,addisonien,addisonien,addisoniens,addisonienne,addisoniennes,,,,,
567,addisonnien,addisonnien,addisonniens,addisonnienne,addisonniennes,,,,,
568,additif,additif,additifs,additive,additives,,,,,
569,additionnable,,,,,additionnable,additionnables,,,
570,additionnel,additionnel,additionnels,additionnelle,additionnelles,,,,,
571,additionné,additionné,additionnés,additionnée,additionnées,,,,,
572,additivé,additivé,additivés,additivée,additivées,,,,,
573,adducteur,adducteur,adducteurs,adductrice,adductrices,,,,,
574,adductif,adductif,adductifs,adductive,adductives,,,,,
575,adelaisi,,,,,adelaisi,adelaisis,,,
576,adelaizi,,,,,adelaizi,adelaizis,,,
577,adelphe,,,,,adelphe,adelphes,,,
578,adendritique,,,,,adendritique,adendritiques,,,
579,adepte,,,,,adepte,adeptes,,,
580,adextre,,,,,adextre,adextres,,,
581,adextré,adextré,adextrés,adextrée,adextrées,,,,,
582,adhérent,adhérent,adhérents,adhérente,adhérentes,,,,,
583,adhésif,adhésif,adhésifs,adhésive,adhésives,,,,,
584,adiabatique,,,,,adiabatique,adiabatiques,,,
585,adialectique,,,,,adialectique,adialectiques,,,
586,adiantacé,adiantacé,adiantacés,adiantacée,adiantacées,,,,,
587,adiantidé,adiantidé,adiantidés,adiantidée,adiantidées,,,,,
588,adiantifolié,adiantifolié,adiantifoliés,adiantifoliée,adiantifoliées,,,,,
589,adiaphore,,,,,adiaphore,adiaphores,,,
590,adiaphoriste,,,,,adiaphoriste,adiaphoristes,,,
591,adiaphorétique,,,,,adiaphorétique,adiaphorétiques,,,
592,adiathermane,,,,,adiathermane,adiathermanes,,,
593,adimensionnel,adimensionnel,adimensionnels,adimensionnelle,adimensionnelles,,,,,
594,adimensionné,adimensionné,adimensionnés,adimensionnée,adimensionnées,,,,,
595,adipeux,,,adipeuse,adipeuses,,,adipeux,,
596,adipique,,,,,adipique,adipiques,,,
597,adipo-régulateur,adipo-régulateur,,,,,,,,
598,adipocireux,adipocireux,,,,,,,,
599,adipociriforme,adipociriforme,,,,,,,,
600,adipogénique,adipogénique,,,,,,,,
601,adipokinétique,,,,,adipokinétique,adipokinétiques,,,
602,adipolipoïdique,adipolipoïdique,,,,,,,,
603,adipolytique,adipolytique,,,,,,,,
604,adipopexique,adipopexique,,,,,,,,
605,adiposo-génital,adiposo-génital,adiposo-génitaux,adiposo-génitale,adiposo-génitales,,,,,
606,adiposogénital,adiposogénital,adiposogénitaux,adiposogénitale,adiposogénitales,,,,,
607,adique,,,,,adique,adiques,,,
608,adiré,adiré,adirés,adirée,adirées,,,,,
609,adjacent,adjacent,adjacents,adjacente,adjacentes,,,,,
610,adjectif,adjectif,adjectifs,adjective,adjectives,,,,,
611,adjectivable,,,,,adjectivable,adjectivables,,,
612,adjectival,adjectival,adjectivaux,adjectivale,adjectivales,,,,,
613,adjectivé,adjectivé,adjectivés,adjectivée,adjectivées,,,,,
614,adjoint,adjoint,adjoints,adjointe,adjointes,,,,,
615,adjonctif,adjonctif,adjonctifs,adjonctive,adjonctives,,,,,
616,adjudicataire,,,,,adjudicataire,adjudicataires,,,
617,adjudicatif,adjudicatif,adjudicatifs,adjudicative,adjudicatives,,,,,
618,adjugé,adjugé,adjugés,adjugée,adjugées,,,,,
619,adjutatoire,,,,,adjutatoire,adjutatoires,,,
620,adjuvant,adjuvant,adjuvants,adjuvante,adjuvantes,,,,,
621,adlaisi,,,,,adlaisi,adlaisis,,,
622,adlérien,adlérien,adlériens,adlérienne,adlériennes,,,,,
623,administrable,,,,,administrable,administrables,,,
624,administrant,administrant,administrants,administrante,administrantes,,,,,
625,administrateur,administrateur,administrateurs,administratrice,administratrices,,,,,
626,administratif,administratif,administratifs,administrative,administratives,,,,,
627,administré,administré,administrés,administrée,administrées,,,,,
628,admirable,,,,,admirable,admirables,,,
629,admirant,admirant,admirants,admirante,admirantes,,,,,
630,admirateur,admirateur,admirateurs,admiratrice,admiratrices,,,,,
631,admiratif,admiratif,admiratifs,admirative,admiratives,,,,,
632,admiromane,,,,,admiromane,admiromanes,,,
633,admiré,admiré,admirés,admirée,admirées,,,,,
634,admis,,,admise,admises,,,admis,,
635,admissible,,,,,admissible,admissibles,,,
636,admonesté,admonesté,admonestés,admonestée,admonestées,,,,,
637,admonitif,admonitif,admonitifs,admonitive,admonitives,,,,,
638,admonété,admonété,admonétés,admonétée,admonétées,,,,,
639,adnominal,adnominal,adnominals,adnominale,adnominales,,,,,
640,adné,adné,adnés,adnée,adnées,,,,,
641,adogmatique,,,,,adogmatique,adogmatiques,,,
642,adolescent,adolescent,adolescents,adolescente,adolescentes,,,,,
643,adoloré,adoloré,adolorés,adolorée,adolorées,,,,,
644,adonien,adonien,adoniens,adonienne,adoniennes,,,,,
645,adonique,,,,,adonique,adoniques,,,
646,adonisien,adonisien,adonisiens,adonisienne,adonisiennes,,,,,
647,adonisé,adonisé,adonisés,adonisée,adonisées,,,,,
648,adonné,adonné,adonnés,adonnée,adonnées,,,,,
649,adoptable,,,,,adoptable,adoptables,,,
650,adoptant,adoptant,adoptants,adoptante,adoptantes,,,,,
651,adoptianiste,,,,,adoptianiste,adoptianistes,,,
652,adoptien,adoptien,adoptiens,adoptienne,adoptiennes,,,,,
653,adoptif,adoptif,adoptifs,adoptive,adoptives,,,,,
654,adopté,adopté,adoptés,adoptée,adoptées,,,,,
655,adorable,,,,,adorable,adorables,,,
656,adoral,adoral,adorals,adorale,adorales,,,,,
657,adorant,adorant,adorants,adorante,adorantes,,,,,
658,adorateur,adorateur,adorateurs,adoratrice,adoratrices,,,,,
659,adoratif,adoratif,adoratifs,adorative,adoratives,,,,,
660,adoré,adoré,adorés,adorée,adorées,,,,,
661,adossé,adossé,adossés,adossée,adossées,,,,,
662,adoubé,adoubé,adoubés,adoubée,adoubées,,,,,
663,adouci,adouci,adoucis,adoucie,adoucies,,,,,
664,adoucissant,adoucissant,adoucissants,adoucissante,adoucissantes,,,,,
665,adoucisseur,adoucisseur,adoucisseurs,adoucisseuse,adoucisseuses,,,,,
666,adoué,adoué,adoués,adouée,adouées,,,,,
667,adragant,adragant,adragants,adragante,adragantes,,,,,
668,adragante,,,adragante,adragantes,,,,,
669,adressable,,,,,adressable,adressables,,,
670,adressant,adressant,adressants,adressante,adressantes,,,,,
671,adressé,adressé,adressés,adressée,adressées,,,,,
672,adriatique,,,,,adriatique,adriatiques,,,
673,adroit,adroit,adroits,adroite,adroites,,,,,
674,adrénalinien,adrénalinien,,,,,,,,
675,adrénalinique,,,,,adrénalinique,adrénaliniques,,,
676,adrénalinogène,adrénalinogène,,,,,,,,
677,adrénaliné,adrénaliné,,,,,,,,
678,adrénalique,adrénalique,,,,,,,,
679,adrénalisé,adrénalisé,,,,,,,,
680,adrénergique,,,,,adrénergique,adrénergiques,,,
681,adréno-novocaïné,adréno-novocaïné,,,,,,,,
682,adrénolytique,,,,,adrénolytique,adrénolytiques,,,
683,adscrit,adscrit,adscrits,adscrite,adscrites,,,,,
684,adsorbable,,,,,adsorbable,adsorbables,,,
685,adsorbant,adsorbant,adsorbants,adsorbante,adsorbantes,,,,,
686,adsorbé,adsorbé,adsorbés,adsorbée,adsorbées,,,,,
687,adulaire,,,,,adulaire,adulaires,,,
688,adulateur,adulateur,adulateurs,adulatrice,adulatrices,,,,,
689,adulatif,adulatif,adulatifs,adulative,adulatives,,,,,
690,adulescent,adulescent,adulescents,adulescente,adulescentes,,,,,
691,adulte,,,,,adulte,adultes,,,
692,adultère,,,,,adultère,adultères,,,
693,adultérateur,adultérateur,adultérateurs,adultératrice,adultératrices,,,,,
694,adultérin,adultérin,adultérins,adultérine,adultérines,,,,,
695,adultéré,adultéré,adultérés,adultérée,adultérées,,,,,
696,adulé,adulé,adulés,adulée,adulées,,,,,
697,adurant,adurant,adurants,adurante,adurantes,,,,,
698,adurent,adurent,adurents,adurente,adurentes,,,,,
699,aduste,,,,,aduste,adustes,,,
700,adustible,,,,,adustible,adustibles,,,
701,advenant,advenant,advenants,advenante,advenantes,,,,,
702,adventice,,,,,adventice,adventices,,,
703,adventif,adventif,adventifs,adventive,adventives,,,,,
704,adventiste,,,,,adventiste,adventistes,,,
705,adventitiel,adventitiel,adventitiels,adventitielle,adventitielles,,,,,
706,advenu,advenu,advenus,advenue,advenues,,,,,
707,adverbal,adverbal,adverbals,adverbale,adverbales,,,,,
708,adverbial,adverbial,adverbiaux,adverbiale,adverbiales,,,,,
709,adverbialisateur,adverbialisateur,adverbialisateurs,adverbialisatrice,adverbialisatrices,,,,,
710,adversaire,,,,,adversaire,adversaires,,,
711,adversatif,adversatif,adversatifs,adversative,adversatives,,,,,
712,adverse,,,,,adverse,adverses,,,
713,adversif,adversif,adversifs,adversive,adversives,,,,,
714,adynamico-ataxique,adynamico-ataxique,,,,,,,,
715,adynamique,,,,,adynamique,adynamiques,,,
716,adécoratif,adécoratif,adécoratifs,adécorative,adécoratives,,,,,
717,adénalgique,adénalgique,,,,,,,,
718,adénanthe,adénanthe,,,,,,,,
719,adénitique,,,,,adénitique,adénitiques,,,
720,adénocalicé,adénocalicé,,,,,,,,
721,adénographique,adénographique,,,,,,,,
722,adénogène,adénogène,,,,,,,,
723,adénologique,adénologique,,,,,,,,
724,adénomateux,adénomateux,,adénomateuse,,,adénomateuses,,,
725,adénonerveuse,,,adénonerveuse,,,,,,
726,adénopharyngien,adénopharyngien,,,,,,,,
727,adénophore,adénophore,,,,,,,,
728,adénophylle,adénophylle,,,,,,,,
729,adénopode,adénopode,,,,,,,,
730,adénostémone,adénostémone,,,,,,,,
731,adénoviral,adénoviral,adénoviraux,adénovirale,adénovirales,,,,,
732,adénoïde,,,,,adénoïde,adénoïdes,,,
733,adénoïdien,adénoïdien,adénoïdiens,adénoïdienne,adénoïdiennes,,,,,
734,adénylique,,,,,adénylique,adényliques,,,
735,adéphage,,,,,adéphage,adéphages,,,
736,adéquat,adéquat,adéquats,adéquate,adéquates,,,,,
737,aegilopiné,aegilopiné,aegilopinés,aegilopinée,aegilopinées,,,,,
738,aegyrinique,,,,,aegyrinique,aegyriniques,,,
739,aethéogame,,,,,aethéogame,aethéogames,,,
740,aethésiogène,,,,,aethésiogène,aethésiogènes,,,
741,afar,afar,afars,afare,afares,,,,,
742,afaubretti,afaubretti,afaubrettis,afaubrettie,afaubretties,,,,,
743,affable,,,,,affable,affables,,,
744,affabulateur,affabulateur,affabulateurs,affabulatrice,affabulatrices,,,,,
745,affabulé,affabulé,affabulés,affabulée,affabulées,,,,,
746,affadi,affadi,affadis,affadie,affadies,,,,,
747,affadissant,affadissant,affadissants,affadissante,affadissantes,,,,,
748,affaibli,affaibli,affaiblis,affaiblie,affaiblies,,,,,
749,affaiblissant,affaiblissant,affaiblissants,affaiblissante,affaiblissantes,,,,,
750,affaiblisseur,affaiblisseur,affaiblisseurs,affaiblisseuse,affaiblisseuses,,,,,
751,affainéanti,affainéanti,affainéantis,affainéantie,affainéanties,,,,,
752,affaireux,,,affaireuse,affaireuses,,,affaireux,,
753,affairiste,,,,,affairiste,affairistes,,,
754,affairé,affairé,affairés,affairée,affairées,,,,,
755,affaissé,affaissé,affaissés,affaissée,affaissées,,,,,
756,affalé,affalé,affalés,affalée,affalées,,,,,
757,affamant,affamant,affamants,affamante,affamantes,,,,,
758,affameur,affameur,affameurs,affameuse,affameuses,,,,,
759,affamé,affamé,affamés,affamée,affamées,,,,,
760,affectable,,,,,affectable,affectables,,,
761,affectant,affectant,affectants,affectante,affectantes,,,,,
762,affectataire,,,,,affectataire,affectataires,,,
763,affectif,affectif,affectifs,affective,affectives,,,,,
764,affectionné,affectionné,affectionnés,affectionnée,affectionnées,,,,,
765,affectivo-moteur,affectivo-moteur,,,,,,,,
766,affectueux,,,affectueuse,affectueuses,,,affectueux,,
767,affecté,affecté,affectés,affectée,affectées,,,,,
768,affermable,,,,,affermable,affermables,,,
769,affermi,affermi,affermis,affermie,affermies,,,,,
770,affichable,,,,,affichable,affichables,,,
771,affichant,affichant,affichants,affichante,affichantes,,,,,
772,affiché,affiché,affichés,affichée,affichées,,,,,
773,affidé,affidé,affidés,affidée,affidées,,,,,
774,affilié,affilié,affiliés,affiliée,affiliées,,,,,
775,affilé,affilé,affilés,affilée,affilées,,,,,
776,affin,affin,affins,affine,affines,,,,,
777,affinal,affinal,affinaux,affinale,affinales,,,,,
778,affinant,affinant,affinants,affinante,affinantes,,,,,
779,affine,,,,,affine,affines,,,
780,affineur,affineur,affineurs,affineuse,affineuses,,,,,
781,affinitaire,,,,,affinitaire,affinitaires,,,
782,affiné,affiné,affinés,affinée,affinées,,,,,
783,affirmable,,,,,affirmable,affirmables,,,
784,affirmant,affirmant,affirmants,affirmante,affirmantes,,,,,
785,affirmateur,affirmateur,affirmateurs,affirmatrice,affirmatrices,,,,,
786,affirmatif,affirmatif,affirmatifs,affirmative,affirmatives,,,,,
787,affirmé,affirmé,affirmés,affirmée,affirmées,,,,,
788,affistolé,affistolé,affistolés,affistolée,affistolées,,,,,
789,affité,affité,affités,affitée,affitées,,,,,
790,affixal,affixal,affixaux,affixale,affixales,,,,,
791,affixe,,,,,affixe,affixes,,,
792,affixé,affixé,affixés,affixée,affixées,,,,,
793,affleurant,affleurant,affleurants,affleurante,affleurantes,,,,,
794,afflictif,afflictif,afflictifs,afflictive,afflictives,,,,,
795,affligeable,,,,,affligeable,affligeables,,,
796,affligeant,affligeant,affligeants,affligeante,affligeantes,,,,,
797,affligé,affligé,affligés,affligée,affligées,,,,,
798,affluent,affluent,affluents,affluente,affluentes,,,,,
799,afflé,afflé,afflés,afflée,afflées,,,,,
800,affolant,affolant,affolants,affolante,affolantes,,,,,
801,affolé,affolé,affolés,affolée,affolées,,,,,
802,affondré,affondré,affondrés,affondrée,affondrées,,,,,
803,affondé,affondé,affondés,affondée,affondées,,,,,
804,affouager,affouager,affouagers,affouagère,affouagères,,,,,
805,affouillable,,,,,affouillable,affouillables,,,
806,affoulé,affoulé,affoulés,affoulée,affoulées,,,,,
807,affourché,affourché,affourchés,affourchée,affourchées,,,,,
808,affouré,affouré,affourés,affourée,affourées,,,,,
809,affranchi,affranchi,affranchis,affranchie,affranchies,,,,,
