"Word","lemme","cgram","genre","nombre","freqlemlivres"
"propos","propos","NOM","m","","106.28"
"occasion","occasion","NOM","f","s","105.74"
"occasions","occasion","NOM","f","p","105.74"
"sujet","sujet","NOM","m","s","105.74"
"sujets","sujet","NOM","m","p","105.74"
"pain","pain","NOM","m","s","105.41"
"pains","pain","NOM","m","p","105.41"
"troupe","troupe","NOM","f","s","105.41"
"troupes","troupe","NOM","f","p","105.41"
"situation","situation","NOM","f","s","104.86"
"situations","situation","NOM","f","p","104.86"
"couloir","couloir","NOM","m","s","104.53"
"couloirs","couloir","NOM","m","p","104.53"
"poitrine","poitrine","NOM","f","s","104.46"
"poitrines","poitrine","NOM","f","p","104.46"
"bouteille","bouteille","NOM","f","s","104.05"
"bouteilles","bouteille","NOM","f","p","104.05"
"enfance","enfance","NOM","f","s","103.99"
"enfances","enfance","NOM","f","p","103.99"
"paix","paix","NOM","f","","103.72"
"copain","copain","NOM","m","s","103.38"
"copains","copain","NOM","m","p","103.38"
"copine","copain","NOM","f","s","103.38"
"copines","copain","NOM","f","p","103.38"
"fauteuil","fauteuil","NOM","m","s","102.03"
"fauteuils","fauteuil","NOM","m","p","102.03"
"espoir","espoir","NOM","m","s","101.89"
"espoirs","espoir","NOM","m","p","101.89"
"chair","chair","NOM","f","s","101.69"
"chairs","chair","NOM","f","p","101.69"
"prince","prince","NOM","m","s","101.22"
"princes","prince","NOM","m","p","101.22"
"princesse","prince","NOM","f","s","101.22"
"princesses","prince","NOM","f","p","101.22"
"salon","salon","NOM","m","s","101.22"
"salons","salon","NOM","m","p","101.22"
"dimanche","dimanche","NOM","m","s","101.15"
"dimanches","dimanche","NOM","m","p","101.15"
"souffle","souffle","NOM","m","s","100.2"
"souffles","souffle","NOM","m","p","100.2"
"colère","colère","NOM","f","s","100.07"
"colères","colère","NOM","f","p","100.07"
"réponse","réponse","NOM","f","s","99.93"
"réponses","réponse","NOM","f","p","99.93"
"fil","fil","NOM","m","s","99.73"
"fils","fil","NOM","m","p","99.73"
"hiver","hiver","NOM","m","s","99.53"
"hivers","hiver","NOM","m","p","99.53"
"morceau","morceau","NOM","m","s","99.32"
"morceaux","morceau","NOM","m","p","99.32"
"visite","visite","NOM","f","s","99.32"
"visites","visite","NOM","f","p","99.32"
"appartement","appartement","NOM","m","s","99.26"
